                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0473,                 1.7797,                 2.5488,                 1.1649,                0.78112,                0.82171,                  0.821,                0.62643,                0.78603,                0.82687,                0.84085,                0.63583,                0.74053,                0.95335,                 1.1106,                0.98611,                 0.0706,              0.0032667,              0.0032667
                      1,                0.73404,                 0.9446,                0.85661,                0.93738,                0.83017,                0.82101,                0.87322,                0.68131,                0.84062,                0.83135,                0.88692,                0.72592,                0.77932,                0.94553,                0.96195,                0.95736,               0.040469,              0.0064693,              0.0064693
                      2,                0.78928,                0.88172,                0.86455,                0.94345,                0.85543,                0.75452,                0.85374,                0.63761,                0.87152,                0.77519,                0.87601,                 0.7028,                 0.8869,                 1.0088,                 1.2385,                 1.0207,               0.010207,                0.00954,                0.00954
                      3,                0.84701,                0.96847,                0.75248,                0.97047,                0.87268,                0.81654,                 0.8978,                0.65433,                 0.8733,                0.85013,                0.92338,                0.71807,                0.88743,                 1.2326,                0.86195,                0.99304,               0.009406,               0.009406,               0.009406
                      4,                 0.8297,                0.98428,                0.76977,                0.96127,                 0.9066,                0.72736,                0.88237,                0.63392,                0.85071,                0.79515,                0.88843,                0.65787,                 1.0209,                 1.5343,                0.78308,                 1.0891,               0.009406,               0.009406,               0.009406
                      5,                0.81838,                 0.9449,                0.70703,                0.96235,                0.85469,                0.82687,                0.89371,                0.64549,                0.87367,                0.83989,                0.91842,                0.67283,                0.94379,                 1.3913,                0.76974,                 1.0312,               0.009208,               0.009208,               0.009208
                      6,                 0.8153,                0.98197,                0.70982,                0.97022,                0.87183,                 0.8437,                0.90192,                0.66403,                0.87625,                0.86305,                0.91571,                0.68752,                0.82297,                  1.164,                 0.7092,                 1.0082,                0.00901,                0.00901,                0.00901
                      7,                0.82132,                0.87896,                  0.666,                0.96751,                0.85799,                0.90439,                 0.9243,                 0.6956,                0.90093,                0.89406,                0.94019,                0.71517,                0.79552,                 1.1506,                0.61951,                0.97487,               0.008812,               0.008812,               0.008812
                      8,                0.81709,                0.89949,                0.64204,                 0.9599,                0.88452,                0.76744,                0.86192,                0.63548,                0.90537,                0.78553,                0.87592,                0.66683,                0.90842,                 1.3636,                0.88618,                 1.0248,               0.008614,               0.008614,               0.008614
                      9,                0.79152,                 0.9076,                0.62851,                0.96897,                0.92966,                0.89664,                0.94796,                0.71296,                 0.9425,                0.90956,                0.95064,                0.73388,                0.79372,                  1.158,                0.66889,                0.97519,               0.008416,               0.008416,               0.008416
                     10,                0.77738,                0.90136,                0.60343,                0.95501,                0.86436,                0.77389,                0.87615,                0.64956,                0.87493,                0.81912,                0.89557,                0.67349,                0.94402,                 1.3173,                0.74801,                 1.0898,               0.008218,               0.008218,               0.008218
                     11,                0.78842,                0.91233,                0.61319,                0.96032,                 0.9177,                0.87597,                0.95386,                0.72562,                0.93805,                0.89664,                0.96803,                0.77508,                0.80297,                 1.0097,                0.59045,                0.96201,                0.00802,                0.00802,                0.00802
                     12,                0.74983,                 0.8067,                0.56099,                0.94516,                0.96806,                 0.9509,                0.97437,                0.80455,                 0.9678,                0.95349,                0.97957,                0.82323,                0.67051,                0.76761,                 0.4633,                0.93874,               0.007822,               0.007822,               0.007822
                     13,                0.74181,                0.82086,                0.58476,                0.94052,                0.93356,                0.94408,                0.96492,                0.77918,                0.93973,                0.95349,                0.98029,                0.80224,                0.72253,                0.78002,                0.52124,                0.93045,               0.007624,               0.007624,               0.007624
                     14,                0.73835,                0.79443,                0.56504,                0.93194,                0.94318,                 0.9437,                0.97897,                0.78913,                0.96616,                 0.9509,                0.98528,                 0.8195,                0.70181,                0.80485,                0.52981,                0.92316,               0.007426,               0.007426,               0.007426
                     15,                0.71627,                 0.7922,                0.55028,                0.92554,                0.90048,                0.93524,                0.96811,                0.77138,                 0.9179,                0.95333,                0.97486,                0.79177,                0.70703,                0.80328,                0.52255,                0.92985,               0.007228,               0.007228,               0.007228
                     16,                0.69558,                0.76383,                0.52715,                0.91877,                0.92149,                0.94013,                0.95608,                0.78327,                0.94935,                0.96856,                0.97939,                0.81136,                0.68358,                0.80884,                0.59243,                0.93402,                0.00703,                0.00703,                0.00703
                     17,                0.70995,                0.73861,                0.52045,                0.93495,                0.94565,                 0.9509,                0.97648,                0.80318,                0.95376,                0.95947,                0.97606,                0.81255,                 0.6803,                0.81481,                0.47969,                0.92652,               0.006832,               0.006832,               0.006832
                     18,                0.69572,                0.78577,                0.51449,                0.91862,                0.92886,                0.93282,                0.96466,                0.79305,                0.94741,                0.96641,                0.98004,                0.80544,                0.65935,                0.80968,                0.48687,                0.91533,               0.006634,               0.006634,               0.006634
                     19,                0.68318,                0.75424,                0.49884,                0.92931,                0.94867,                0.92765,                0.96005,                0.79607,                0.97089,                0.94798,                0.98004,                0.80282,                0.63301,                0.74499,                0.46204,                0.90964,               0.006436,               0.006436,               0.006436
